,year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
41110,2001,95,7.7,31483,85.0,237.0,118.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
41114,2001,93,6.3,52647,29.0,113.0,37.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41115,2001,93,4.2,1928,47.0,80.0,28.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41119,2001,132,6.9,1205,58.0,11.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41122,2001,108,6.4,236374,43.0,436.0,131.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41128,2001,100,7.3,9128,60.0,53.0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41130,2001,100,5.8,568,46.0,24.0,21.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41134,2001,109,6.5,32860,66.0,283.0,129.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41137,2001,101,6.9,35999,55.0,291.0,114.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41138,2001,97,7.1,1333,68.0,31.0,27.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41140,2001,88,6.2,1274,51.0,67.0,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41144,2001,86,6.8,4654,50.0,16.0,16.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41152,2001,109,6.9,5501,78.0,100.0,63.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41153,2001,134,7.4,4592,88.0,61.0,71.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41155,2001,89,7.5,13895,70.0,98.0,73.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41156,2001,80,6.2,173,39.0,7.0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
41158,2001,86,6.2,3306,39.0,44.0,41.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41161,2001,110,5.9,254,56.0,6.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41171,2001,157,6.8,92433,65.0,397.0,176.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41172,2001,102,6.1,3776,36.0,77.0,41.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41174,2001,94,6.3,288,58.0,14.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41178,2001,95,4.9,37508,32.0,176.0,50.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41180,2001,144,7.7,358188,74.0,1154.0,219.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
41181,2001,102,5.7,53988,44.0,344.0,144.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41182,2001,126,7.1,142632,63.0,392.0,94.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41188,2001,108,6.9,34049,45.0,345.0,81.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41189,2001,129,6.9,2524,72.0,33.0,62.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
41190,2001,118,6.1,4991,42.0,65.0,48.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
41191,2001,96,4.8,6559,18.0,37.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41203,2001,102,7.1,3117,82.0,46.0,49.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41206,2001,97,5.9,280,32.0,11.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41208,2001,90,5.9,2794,48.0,41.0,32.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41213,2001,87,5.1,55612,47.0,237.0,106.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41216,2001,109,7.0,2184,81.0,30.0,36.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
